source,target,identity,evalue,bitscore
A0A1L8G2K9,A5D979,0.1604,0.0,0.0
A0A1L8G2K9,D3ZVU1,0.1634,0.0,0.0
A0A1L8G2K9,F6UH96,0.4908,0.0,0.0
A0A1L8G2K9,G3X912,0.1632,0.0,0.0
A0A1L8GSA2,A0JP82,0.5852,0.0,0.0
A0A1L8GSA2,K9JHZ4,0.5771,0.0,0.0
A0A1L8GSA2,O43151,0.1854,0.0,0.0
A0A1L8GVF0,A0A1L8GXM0,0.5664,0.0,0.0
A0A1L8GVF0,A2VDP1,0.1593,0.0,0.0
A0A1L8GVF0,O75150,0.1523,0.0,0.0
A0A1L8GVF0,O94383,0.1548,0.0,0.0
A0A1L8GVF0,O95239,0.1524,0.0,0.0
A0A1L8GVF0,P02562,0.1677,0.0,0.0
A0A1L8GVF0,P12270,0.1607,0.0,0.0
A0A1L8GVF0,P12753,0.1616,0.0,0.0
A0A1L8GXM0,A2VDP1,0.1686,0.0,0.0
A0A1L8GXM0,O01789,0.1513,0.0,0.0
A0A1L8GXM0,O60282,0.1547,0.0,0.0
A0A1L8GXM0,O93308,0.1563,0.0,0.0
A0A1L8GXM0,O94383,0.1573,0.0,0.0
A0A1L8GXM0,O97593,0.1545,0.0,0.0
A0A1L8GXM0,P02562,0.166,0.0,0.0
A0A1L8GXM0,P12270,0.1641,0.0,0.0
A0A1L8GXM0,P12753,0.1575,0.0,0.0
A0A1L8GXM0,P17210,0.1538,0.0,0.0
A0A1R3RGK0,A0A482N9V7,0.1535,0.0,0.0
A0A1R3RGK0,A2R6H1,0.4641,0.0,0.0
A0A1R3RGK0,A5ABG0,0.1572,0.0,0.0
A0A1R3RGK0,G2Q9A5,0.1529,0.0,0.0
A0A1R3RGK0,I6XD69,0.1531,0.0,0.0
A0A1R3RGK0,P0DO30,0.1517,0.0,0.0
A0A1S3Z5Y0,A2XFC8,0.278,0.0,0.0
A0A1S3Z5Y0,A9S9Q8,0.345,0.0,0.0
A0A1S3Z5Y0,A9T142,0.3076,0.0,0.0
A0A1U8GR65,A0A2J6L8Y7,0.2195,0.0,0.0
A0A1U8GR65,A0A3Q7FGP1,0.3086,0.0,0.0
A0A1U8GR65,C6ZJZ3,0.2597,0.0,0.0
A0A1U8GR65,C7SG33,0.2514,0.0,0.0
A0A1U8GR65,D3UW26,0.5219,0.0,0.0
A0A1U8GR65,O81481,0.2757,0.0,0.0
A0A1U8GR65,P0DXI0,0.2591,0.0,0.0
A0A1W5T1U1,A0A482N9V7,0.2034,0.0,0.0
A0A1W5T1U1,A0R1E8,0.1716,0.0,0.0
A0A1W5T1U1,A5ABG0,0.1516,0.0,0.0
A0A1W5T1U1,G2Q9A5,0.2387,0.0,0.0
A0A1W5T1U1,G4MVZ2,0.2284,0.0,0.0
A0A1W5T1U1,I6XD69,0.1631,0.0,0.0
A0A1W5T1U1,P0DO30,0.2036,0.0,0.0
A0A286Y9D1,O94880,0.4753,0.0,0.0
A0A2H1A768,E9RBG1,0.1644,0.0,0.0
A0A2H1A768,F2SG60,0.1572,0.0,0.0
A0A2H1A768,O74208,0.1877,0.0,0.0
A0A2I0BVG8,A0A509AHB6,0.6702,0.0,0.0
A0A2J6L8Y7,A0A3Q7FGP1,0.3185,0.0,0.0
A0A2J6L8Y7,C6ZJZ3,0.2865,0.0,0.0
A0A2J6L8Y7,C7SG33,0.2853,0.0,0.0
A0A2J6L8Y7,D3UW26,0.2438,0.0,0.0
A0A2J6L8Y7,O81481,0.2241,0.0,0.0
A0A2J6L8Y7,P0DXI0,0.2753,0.0,0.0
A0A3Q7FGP1,C6ZJZ3,0.3284,0.0,0.0
A0A3Q7FGP1,C7SG33,0.3041,0.0,0.0
A0A3Q7FGP1,D3UW26,0.3088,0.0,0.0
A0A3Q7FGP1,O81481,0.3009,0.0,0.0
A0A3Q7FGP1,P0DXI0,0.3012,0.0,0.0
A0A482N9V7,A2R6H1,0.1541,0.0,0.0
A0A482N9V7,A5ABG0,0.1631,0.0,0.0
A0A482N9V7,G2Q9A5,0.2061,0.0,0.0
A0A482N9V7,G4MVZ2,0.18,0.0,0.0
A0A482N9V7,P0DO30,0.4044,0.0,0.0
A0A509AFG4,O15865,0.1524,0.0,0.0
A0A509AH51,A0A509AMC3,0.1581,0.0,0.0
A0A509AH51,C6KTB8,0.1547,0.0,0.0
A0A509AH51,P0DOC6,0.1674,0.0,0.0
A0A509AMC3,B1INP5,0.1517,0.0,0.0
A0A509AMC3,C6KTB8,0.2073,0.0,0.0
A0A509AMC3,C7NBY4,0.1546,0.0,0.0
A0A509AMC3,O43948,0.1565,0.0,0.0
A0A509AMC3,P0DOC6,0.1817,0.0,0.0
A0A509AMC3,P10844,0.1517,0.0,0.0
A0A509AQE6,A0A5K1K8H0,0.4389,0.0,0.0
A0A5J5NT52,A0A5J5T2N2,0.8599,0.0,0.0
A0A5J5NT52,F4J0D2,0.1597,0.0,0.0
A0A5J5NT52,F4JZW1,0.25,0.0,0.0
A0A5J5NT52,O49840,0.1503,0.0,0.0
A0A5J5T2N2,F4J0D2,0.1591,0.0,0.0
A0A5J5T2N2,F4JZW1,0.2471,0.0,0.0
A0A5P3XKQ1,A7GBG3,0.158,0.0,0.0
A0A5P3XKQ1,P0DPK1,0.1608,0.0,0.0
A0A6J2ATK2,M3XFH7,0.9397,0.0,0.0
A0A7G5KET3,P00558,0.2773,0.0,0.0
A0A7G5KET3,P00559,0.2738,0.0,0.0
A0A7G5KET3,P00560,0.2617,0.0,0.0
A0A7G5KET3,P07205,0.2378,0.0,0.0
A0A7G5KET3,P09041,0.2246,0.0,0.0
A0A7G5KET3,P09411,0.2641,0.0,0.0
A0A7G5KET3,P16617,0.2662,0.0,0.0
A0A7H0DN85,O57209,0.9483,0.0,0.0
A0A7H0DN85,P04298,0.9508,0.0,0.0
A0A7H0DN85,P0DSX5,0.9222,0.0,0.0
A0A7H0DN85,P0DSX6,0.937,0.0,0.0
A0A8I3S724,A4IGM9,0.2179,0.0,0.0
A0A8I3S724,A5GFW1,0.643,0.0,0.0
A0A8I3S724,D7UQM5,0.2434,0.0,0.0
A0A8I3S724,O01427,0.1713,0.0,0.0
A0A8I3S724,O14965,0.6223,0.0,0.0
A0A8I3S724,O55099,0.2061,0.0,0.0
A0A8I3S724,O59790,0.1928,0.0,0.0
A0A8I3S724,O70126,0.202,0.0,0.0
A0A8I3S724,O88445,0.1748,0.0,0.0
A0A8I5ZNK2,G5EEN4,0.1818,0.0,0.0
A0A8I5ZNK2,O88506,0.4011,0.0,0.0
A0A8I5ZNK2,O95747,0.8091,0.0,0.0
A0A8I6G2K8,O60341,0.9522,0.0,0.0
A0A974H8H3,A0MQH0,0.6265,0.0,0.0
A0A974H8H3,B3DLA6,0.9099,0.0,0.0
A0A9E8G339,P0A817,0.1727,0.0,0.0
A0A9E8G339,P10659,0.2065,0.0,0.0
A0A9E8G339,P13444,0.2022,0.0,0.0
A0A9E8G339,P17562,0.6579,0.0,0.0
A0AAA9T569,E9Q236,0.5344,0.0,0.0
A0AAA9T569,F1M3J4,0.5325,0.0,0.0
A0AAA9T569,O15438,0.1529,0.0,0.0
A0AAA9T569,O15439,0.6131,0.0,0.0
A0AVT1,O94609,0.156,0.0,0.0
A0JMQ9,A6QP16,0.4906,0.0,0.0
A0JN54,O88673,0.4389,0.0,0.0
A0JN74,B1H278,0.5719,0.0,0.0
A0JNB0,A1A5H8,0.3913,0.0,0.0
A0JNB0,A1Y2K1,0.9731,0.0,0.0
A0JNB0,F1LM93,0.3853,0.0,0.0
A0JNB0,G5EE56,0.1538,0.0,0.0
A0JNB0,O45539,0.154,0.0,0.0
A0JNB0,P00523,0.3286,0.0,0.0
A0JNB0,P05480,0.329,0.0,0.0
A0JNB0,P06239,0.1857,0.0,0.0
A0JNB0,P06240,0.1792,0.0,0.0
A0JNB0,P06241,0.9807,0.0,0.0
A0JNB0,P07947,0.387,0.0,0.0
A0JNB0,P07948,0.206,0.0,0.0
A0JNB0,P08103,0.1923,0.0,0.0
A0JNB0,P08631,0.1942,0.0,0.0
A0JNB0,P09324,0.3948,0.0,0.0
A0JNB0,P09769,0.3221,0.0,0.0
A0JNB0,P12931,0.329,0.0,0.0
A0JNB0,P13406,0.8577,0.0,0.0
A0JNB0,P14234,0.328,0.0,0.0
A0JNB0,P16277,0.2037,0.0,0.0
A0JND9,O35795,0.156,0.0,0.0
A0JND9,O55026,0.1535,0.0,0.0
A0JP82,K9JHZ4,0.5816,0.0,0.0
A0JP82,O43151,0.1992,0.0,0.0
A0JPL0,P17014,0.1503,0.0,0.0
A0JPN4,A2A288,0.168,0.0,0.0
A0JPN4,A6QQJ8,0.4815,0.0,0.0
A0LU48,A0QZ49,0.2538,0.0,0.0
A0M8R7,A0M8S8,0.5827,0.0,0.0
A0M8R7,A1X150,0.4453,0.0,0.0
A0M8R7,P08581,0.9206,0.0,0.0
A0M8R7,P16056,0.5462,0.0,0.0
A0M8S8,A1X150,0.4926,0.0,0.0
A0M8S8,P08581,0.593,0.0,0.0
A0M8S8,P16056,0.5565,0.0,0.0
A0MD28,P0DJY0,1.0,0.0,0.0
A0MD28,P0DJZ9,0.6285,0.0,0.0
A0MQH0,B3DLA6,0.617,0.0,0.0
A0MTA1,A1YES6,0.2784,0.0,0.0
A0MTA1,A1YFZ3,0.2768,0.0,0.0
A0MTA1,A2T6Y4,0.2768,0.0,0.0
A0MTA1,A2T7I6,0.2702,0.0,0.0
A0Q7Q2,P0DOC6,0.1522,0.0,0.0
A0QNE0,C5C7X8,0.2571,0.0,0.0
A0QNE0,P0A2I3,0.1607,0.0,0.0
A0QNE0,P0AES6,0.1636,0.0,0.0
A0QNE0,P0C559,1.0,0.0,0.0
A0QS29,A0QT91,0.151,0.0,0.0
A0QS29,B2HN69,0.1533,0.0,0.0
A0QS29,D4GY98,0.1572,0.0,0.0
A0QS29,F1SVH1,0.1553,0.0,0.0
A0QS29,G7CBF5,0.1556,0.0,0.0
A0QS29,I6XD69,0.154,0.0,0.0
A0QS29,O40955,0.1522,0.0,0.0
A0QS29,P08392,0.1616,0.0,0.0
A0QT91,B2HIL7,0.1591,0.0,0.0
A0QT91,B2HN69,0.1615,0.0,0.0
A0QT91,D3KCC4,0.1507,0.0,0.0
A0QT91,E5XP76,0.1602,0.0,0.0
A0QT91,F1SVH1,0.1595,0.0,0.0
A0QT91,G7CBF5,0.16,0.0,0.0
A0QT91,I6XD69,0.1509,0.0,0.0
A0QT91,O88037,0.1596,0.0,0.0
A0QT91,P08392,0.1545,0.0,0.0
A0QT91,P0C5W1,0.1588,0.0,0.0
A0QUE0,B1MDE5,0.3238,0.0,0.0
A0QXE4,A0R758,0.1969,0.0,0.0
A0R1E8,B2HIL7,0.1747,0.0,0.0
A0R1E8,G4MVZ2,0.1544,0.0,0.0
A0R1E8,I6XD69,0.1937,0.0,0.0
A0R1E8,O53901,0.3491,0.0,0.0
A0R2V5,O53443,0.657,0.0,0.0
A0R5D9,P06612,0.1692,0.0,0.0
A0R618,O53580,0.3702,0.0,0.0
A1A4I4,A1Z7T0,0.1787,0.0,0.0
A1A4I4,A7MBL8,0.2798,0.0,0.0
A1A4I4,O08874,0.2877,0.0,0.0
A1A4J1,P00511,0.304,0.0,0.0
A1A4J1,P08237,0.2953,0.0,0.0
A1A4J1,P12382,0.7292,0.0,0.0
A1A4J1,P17858,0.7547,0.0,0.0
A1A4L8,A2BDX3,0.401,0.0,0.0
A1A4L8,A5GFZ6,0.6051,0.0,0.0
A1A4L8,O95396,0.5333,0.0,0.0
A1A5H8,A1Y2K1,0.3913,0.0,0.0
A1A5H8,F1LM93,0.5991,0.0,0.0
A1A5H8,G5EE56,0.1585,0.0,0.0
A1A5H8,P00523,0.3942,0.0,0.0
A1A5H8,P05480,0.3834,0.0,0.0
A1A5H8,P06239,0.1893,0.0,0.0
A1A5H8,P06240,0.1828,0.0,0.0
A1A5H8,P06241,0.3943,0.0,0.0
A1A5H8,P07947,0.6079,0.0,0.0
A1A5H8,P07948,0.1998,0.0,0.0
A1A5H8,P08103,0.2103,0.0,0.0
A1A5H8,P08631,0.2165,0.0,0.0
A1A5H8,P09324,0.6092,0.0,0.0
A1A5H8,P09769,0.3018,0.0,0.0
A1A5H8,P12931,0.3929,0.0,0.0
A1A5H8,P13406,0.3973,0.0,0.0
A1A5H8,P14234,0.3245,0.0,0.0
A1A5H8,P16277,0.1787,0.0,0.0
A1A5R1,O43251,0.7619,0.0,0.0
A1ACB2,A7ZN88,0.9196,0.0,0.0
A1ACB2,A8A1G6,0.9366,0.0,0.0
A1ACB2,B1IZU5,0.9366,0.0,0.0
A1ACB2,B1LQP2,0.9366,0.0,0.0
A1ACB2,B1X6B7,0.9164,0.0,0.0
A1ACB2,B2TWL8,0.9366,0.0,0.0
A1ACB2,B5YSJ3,0.9,0.0,0.0
A1ACB2,B6I112,0.9196,0.0,0.0
A1ACB2,B7L8Y4,0.8966,0.0,0.0
A1ACB2,B7M3A5,0.9399,0.0,0.0
A1ACB2,B7MCM0,1.0,0.0,0.0
A1ACB2,B7MWF3,0.9366,0.0,0.0
A1ACB2,B7NBV8,0.9366,0.0,0.0
A1ACB2,B7NRB5,0.8707,0.0,0.0
A1ACB2,C4ZQN7,0.9164,0.0,0.0
A1CAZ7,A2R3H4,0.369,0.0,0.0
A1CAZ7,A4RPM5,0.1852,0.0,0.0
A1CAZ7,B0Y0P7,0.5305,0.0,0.0
A1CAZ7,O59954,0.349,0.0,0.0
A1CHL6,A1CX69,0.5422,0.0,0.0
A1CHL6,A2QIL5,0.331,0.0,0.0
A1CHL6,A7F0W2,0.2346,0.0,0.0
A1CHL6,I1RNG8,0.2295,0.0,0.0
A1CHL6,J4W0G2,0.2345,0.0,0.0
A1CP85,A1D244,0.7751,0.0,0.0
A1CP85,A3LSZ2,0.2577,0.0,0.0
A1CP85,A4RD09,0.3069,0.0,0.0
A1CP85,A5H2P4,0.2366,0.0,0.0
A1CP85,A5H2Q8,0.235,0.0,0.0
A1CP85,A6R8Q8,0.4325,0.0,0.0
A1CP85,A6ZY89,0.2287,0.0,0.0
A1CP85,A7F7H0,0.3286,0.0,0.0
A1CP85,A8NMB4,0.2197,0.0,0.0
A1CP85,A8QCB2,0.2121,0.0,0.0
A1CP85,B0D6H2,0.2354,0.0,0.0
A1CP85,B0XRM8,0.7751,0.0,0.0
A1CP85,B2B223,0.3118,0.0,0.0
A1CP85,B3LGE9,0.2271,0.0,0.0
A1CP85,B6HAA7,0.5728,0.0,0.0
A1CP85,B6JVD0,0.2254,0.0,0.0
A1CP85,B6QCA7,0.4455,0.0,0.0
A1CP85,B6QWH9,0.4346,0.0,0.0
A1CP85,B8M0U4,0.4374,0.0,0.0
A1CP85,B8N4Q9,0.6103,0.0,0.0
A1CP85,B9WFG1,0.249,0.0,0.0
A1CP85,C0NL63,0.4575,0.0,0.0
A1CP85,C0S433,0.4267,0.0,0.0
A1CP85,C1FYJ9,0.4331,0.0,0.0
A1CP85,C1H8L1,0.4393,0.0,0.0
A1CP85,C4JYG6,0.4191,0.0,0.0
A1CP85,C4R4R8,0.2544,0.0,0.0
A1CP85,C4Y9D5,0.2423,0.0,0.0
A1CP85,C5DN02,0.226,0.0,0.0
A1CP85,C5DVG6,0.2435,0.0,0.0
A1CP85,C5FQ73,0.3726,0.0,0.0
A1CP85,C5G8R4,0.4603,0.0,0.0
A1CP85,C5JKE6,0.4627,0.0,0.0
A1CP85,C5M1X2,0.2543,0.0,0.0
A1CP85,C5PA86,0.4335,0.0,0.0
A1CP85,C6HCG7,0.454,0.0,0.0
A1CP85,C7GIN5,0.2276,0.0,0.0
A1CP85,C7YZ74,0.2975,0.0,0.0
A1CP85,C8Z543,0.2279,0.0,0.0
A1CP85,C9SE96,0.3072,0.0,0.0
A1CP85,D1ZA70,0.3207,0.0,0.0
A1CP85,P07547,0.6018,0.0,0.0
A1CP85,P08566,0.2272,0.0,0.0
A1CP85,P0CM22,0.247,0.0,0.0
A1CP85,P0CM23,0.247,0.0,0.0
A1CX69,A2QIL5,0.3351,0.0,0.0
A1CX69,A7F0W2,0.2364,0.0,0.0
A1CX69,I1RNG8,0.236,0.0,0.0
A1CX69,J4W0G2,0.2335,0.0,0.0
A1D244,A3LSZ2,0.2611,0.0,0.0
A1D244,A4RD09,0.3098,0.0,0.0
A1D244,A5H2P4,0.2451,0.0,0.0
A1D244,A5H2Q8,0.2426,0.0,0.0
A1D244,A6R8Q8,0.4304,0.0,0.0
A1D244,A6ZY89,0.2285,0.0,0.0
A1D244,A7F7H0,0.3236,0.0,0.0
A1D244,A8NMB4,0.2281,0.0,0.0
A1D244,A8QCB2,0.2212,0.0,0.0
A1D244,B0D6H2,0.2404,0.0,0.0
A1D244,B0XRM8,0.9712,0.0,0.0
A1D244,B2B223,0.3167,0.0,0.0
A1D244,B3LGE9,0.2268,0.0,0.0
A1D244,B6HAA7,0.5637,0.0,0.0
A1D244,B6JVD0,0.2295,0.0,0.0
A1D244,B6QCA7,0.4423,0.0,0.0
A1D244,B6QWH9,0.4372,0.0,0.0
A1D244,B8M0U4,0.4353,0.0,0.0
A1D244,B8N4Q9,0.6515,0.0,0.0
A1D244,B9WFG1,0.2558,0.0,0.0
A1D244,C0NL63,0.4554,0.0,0.0
A1D244,C0S433,0.4351,0.0,0.0
A1D244,C1FYJ9,0.445,0.0,0.0
A1D244,C1H8L1,0.4478,0.0,0.0
A1D244,C4JYG6,0.4113,0.0,0.0
A1D244,C4R4R8,0.2624,0.0,0.0
A1D244,C4Y9D5,0.2412,0.0,0.0
A1D244,C5DN02,0.2275,0.0,0.0
A1D244,C5DVG6,0.2477,0.0,0.0
A1D244,C5FQ73,0.3716,0.0,0.0
A1D244,C5G8R4,0.4727,0.0,0.0
A1D244,C5JKE6,0.4739,0.0,0.0
A1D244,C5M1X2,0.2559,0.0,0.0
A1D244,C5PA86,0.4303,0.0,0.0
A1D244,C6HCG7,0.4495,0.0,0.0
A1D244,C7GIN5,0.2265,0.0,0.0
A1D244,C7YZ74,0.3022,0.0,0.0
A1D244,C8Z543,0.2277,0.0,0.0
A1D244,C9SE96,0.311,0.0,0.0
A1D244,D1ZA70,0.3157,0.0,0.0
A1D244,P07547,0.626,0.0,0.0
A1D244,P08566,0.2278,0.0,0.0
A1D244,P0CM22,0.262,0.0,0.0
A1D244,P0CM23,0.262,0.0,0.0
A1L1N5,P15257,0.2416,0.0,0.0
A1X150,P08581,0.4492,0.0,0.0
A1X150,P16056,0.4254,0.0,0.0
A1XSY8,O73693,0.1774,0.0,0.0
A1XSY8,P08046,0.197,0.0,0.0
A1XSY8,P08152,0.6741,0.0,0.0
A1XSY8,P08154,0.1952,0.0,0.0
A1XSY8,P11161,0.8966,0.0,0.0
A1Y2K1,F1LM93,0.3853,0.0,0.0
A1Y2K1,G5EE56,0.1552,0.0,0.0
A1Y2K1,O45539,0.1514,0.0,0.0
A1Y2K1,P00523,0.3286,0.0,0.0
A1Y2K1,P05480,0.3255,0.0,0.0
A1Y2K1,P06239,0.1843,0.0,0.0
A1Y2K1,P06240,0.1778,0.0,0.0
A1Y2K1,P06241,0.9731,0.0,0.0
A1Y2K1,P07947,0.387,0.0,0.0
A1Y2K1,P07948,0.2046,0.0,0.0
A1Y2K1,P08103,0.1895,0.0,0.0
A1Y2K1,P08631,0.1928,0.0,0.0
A1Y2K1,P09324,0.3948,0.0,0.0
A1Y2K1,P09769,0.3238,0.0,0.0
A1Y2K1,P12931,0.3255,0.0,0.0
A1Y2K1,P13406,0.851,0.0,0.0
A1Y2K1,P14234,0.328,0.0,0.0
A1Y2K1,P16277,0.2037,0.0,0.0
A1YES6,A1YFZ3,0.9238,0.0,0.0
A1YES6,A2T6Y4,0.9238,0.0,0.0
A1YES6,A2T7I6,0.9302,0.0,0.0
A1YFZ3,A2T6Y4,1.0,0.0,0.0
A1YFZ3,A2T7I6,0.9299,0.0,0.0
A1YG22,A2T7L5,0.9,0.0,0.0
A1YG22,B8XIA5,0.9035,0.0,0.0
A1YG22,P01106,0.9333,0.0,0.0
A1YG22,P01108,0.6778,0.0,0.0
A1YG22,P09416,0.6835,0.0,0.0
A1Z198,D9I2F9,0.3063,0.0,0.0
A1Z198,D9I2G1,0.3023,0.0,0.0
A1Z198,D9I2G3,0.3063,0.0,0.0
A1Z198,D9I2G4,0.2994,0.0,0.0
A1Z198,D9I2H0,0.3025,0.0,0.0
A1Z651,P03330,0.1577,0.0,0.0
A1Z651,P03332,0.3758,0.0,0.0
A1Z651,P03336,0.4141,0.0,0.0
A1Z651,P03341,0.177,0.0,0.0
A1Z651,P03355,0.7347,0.0,0.0
A1Z651,P03356,0.7345,0.0,0.0
A1Z651,P03359,0.2839,0.0,0.0
A1Z651,P03360,0.1614,0.0,0.0
